date,Ask
2022-03-23 18:45:40.231,4477.33
2022-03-23 18:45:40.881,4477.34
2022-03-23 18:45:41.150,4477.35
2022-03-23 18:45:41.819,4477.33
2022-03-23 18:45:42.516,4477.35
2022-03-23 18:45:43.191,4477.32
2022-03-23 18:45:43.965,4477.32
2022-03-23 18:45:44.957,4477.75
2022-03-23 18:45:45.245,4477.77
2022-03-23 18:45:46.720,4477.82
2022-03-23 18:45:47.981,4477.58
2022-03-23 18:45:48.530,4477.59
2022-03-23 18:45:48.944,4477.58
2022-03-23 18:45:50.530,4477.34
2022-03-23 18:45:50.792,4477.34
2022-03-23 18:45:51.461,4477.31
2022-03-23 18:45:52.005,4477.35
2022-03-23 18:45:53.144,4477.33
2022-03-23 18:45:54.022,4477.33
2022-03-23 18:45:54.419,4477.36
2022-03-23 18:45:54.992,4477.6
2022-03-23 18:45:55.397,4477.84
2022-03-23 18:45:55.898,4477.84
2022-03-23 18:45:56.843,4478.09
2022-03-23 18:45:57.466,4478.32
2022-03-23 18:45:58.511,4477.85
2022-03-23 18:46:00.440,4478.32
2022-03-23 18:46:00.971,4478.31
2022-03-23 18:46:01.509,4478.07
2022-03-23 18:46:01.788,4478.09
2022-03-23 18:46:03.530,4478.34
2022-03-23 18:46:03.800,4478.32
2022-03-23 18:46:04.442,4478.37
2022-03-23 18:46:04.748,4478.34
2022-03-23 18:46:08.471,4478.84
2022-03-23 18:46:09.025,4478.81
2022-03-23 18:46:09.418,4478.8
2022-03-23 18:46:09.762,4478.83
2022-03-23 18:46:10.522,4478.79
2022-03-23 18:46:10.662,4478.79
2022-03-23 18:46:11.317,4478.8
2022-03-23 18:46:12.503,4478.83
2022-03-23 18:46:12.959,4478.59
2022-03-23 18:46:13.446,4478.3
2022-03-23 18:46:14.301,4478.1
2022-03-23 18:46:15.163,4478.07
2022-03-23 18:46:15.793,4478.12
2022-03-23 18:46:16.796,4477.86
2022-03-23 18:46:17.786,4477.85
2022-03-23 18:46:18.383,4477.85
2022-03-23 18:46:18.894,4478.02
2022-03-23 18:46:19.466,4477.84
2022-03-23 18:46:19.780,4477.85
2022-03-23 18:46:20.384,4477.79
2022-03-23 18:46:20.805,4477.81
2022-03-23 18:46:21.488,4477.84
2022-03-23 18:46:22.262,4477.82
2022-03-23 18:46:23.488,4477.59
2022-03-23 18:46:25.244,4477.59
2022-03-23 18:46:26.225,4477.58
2022-03-23 18:46:26.761,4477.31
2022-03-23 18:46:27.464,4477.35
2022-03-23 18:46:27.946,4477.33
2022-03-23 18:46:28.148,4477.34
2022-03-23 18:46:28.907,4477.37
2022-03-23 18:46:29.152,4477.35
2022-03-23 18:46:33.302,4477.35
2022-03-23 18:46:34.767,4477.59
2022-03-23 18:46:35.762,4477.57
2022-03-23 18:46:37.016,4477.58
2022-03-23 18:46:37.413,4477.43
2022-03-23 18:46:39.960,4477.59
2022-03-23 18:46:43.895,4477.59
2022-03-23 18:46:45.813,4477.44
2022-03-23 18:46:47.486,4477.11
2022-03-23 18:46:49.123,4477.11
2022-03-23 18:46:49.644,4477.09
2022-03-23 18:46:51.833,4477.09
2022-03-23 18:46:52.790,4477.06
2022-03-23 18:46:53.717,4477.06
2022-03-23 18:46:55.296,4477.1
2022-03-23 18:46:56.337,4477.09
2022-03-23 18:46:58.383,4477.32
2022-03-23 18:46:59.389,4477.11
2022-03-23 18:46:59.779,4477.08
2022-03-23 18:47:00.233,4477.12
